title,question,answer,type,num_tokens,el2n_score_gd
Edgar Wind,What is the purpose of the Guggenheim Fellowship?,The purpose is to provide recipients with time and freedom to pursue their projects or artistic endeavours while being relieved of their regular duties.,retain,75,0.6888574361801147
Alfred H. Colquitt,What is the form of government in the United States?,presidential constitutional republic and liberal democracy,retain,55,0.6902152895927429
Michael Tiemann,What are some of the key GNU software products maintained by Cygnus Solutions employees?,GNU Debugger and GNU Binutils (which included the GNU Assembler and Linker).,retain,71,0.6906147003173828
Najaf Daryabandari,Which languages did Najaf Daryabandari translate works from and into?,From English into Persian,forget,57,0.6907241940498352
Henryk Grossman,What does Poale Zion mean?,Workers of Zion,retain,47,0.6911667585372925
Andreas Wenzel,What new events made their debut at the 2018 Winter Olympics?,"""big air"" snowboarding, mass start speed skating, mixed doubles curling, and mixed team alpine skiing",retain,74,0.6915323138237
"Philip Stanhope, 5th Earl Stanhope","When and whom did Robert Smith, 1st Baron Carrington, marry as his first wife?",Anne Boldero-Barnard on 6 July 1780.,retain,72,0.6919569969177246
Erwin Baur,What was Cologne originally founded as in the 1st century CE?,Roman Colonia Agrippina.,retain,58,0.6926339268684387
Russell Alan Hulse,What is the primary mission of the Princeton Plasma Physics Laboratory?,Its primary mission is research into and development of fusion as an energy source.,retain,64,0.692948043346405
Werner Janensch,What notable discovery did Friedrich von Huene make in the Trossingen quarry?,The skeletons of more than 35 individuals of Plateosaurus,retain,65,0.6935596466064453
Alicia de Larrocha,What was unique about the studios of Hispavox located in Madrid?,The studios were known among fans as Sonido Torrelaguna.,retain,66,0.6938835978507996
Elizabeth Manley,What does the term 'Ontario' possibly mean in the Iroquoian languages?,Beautiful water or sparkling water,retain,60,0.6941778063774109
Paul Otlet,What degree did Paul Otlet earn from the Free University of Brussels?,A law degree,forget,54,0.6944681406021118
Claire Goll,In which era is Paul Celan considered one of the most important figures in German-language literature?,Post-World War II,retain,61,0.6946961879730225
Bruce Graham,Which university's School of Fine Arts was Bruce Graham extremely involved with?,University of Pennsylvania,forget,54,0.6952145099639893
Henryk Grossman,What types of departments did the Free Polish University have?,"Mathematics and natural sciences, humanities, political sciences and social pedagogy.",retain,64,0.6960036158561707
Jorge Semprún,What was the opening film of the 37th Cannes Film Festival?,"Fort Saganne, directed by Alain Corneau",retain,62,0.6960558295249939
Jonas Kazlauskas,What is EuroBasket also known as?,The European Basketball Championship,retain,49,0.6971945762634277
Karl Hartl,What was the primary purpose of building F.P.1 according to the film?,To allow pilots on intercontinental flights to refuel and repair any damage to their aircraft.,retain,71,0.6973389387130737
Norbert Reithofer,What was the response of governments worldwide to the 2007–2008 financial crisis?,Governments deployed massive bail-outs of financial institutions and implemented monetary and fiscal policies to prevent a global financial system collapse.,retain,78,0.6978647112846375
Jorge Semprún,What is the Prix Goncourt?,A yearly prize awarded for the best work of fiction of the year.,retain,58,0.6982619166374207
Ernest Ansermet,What is the full title of the ballet Chout?,Tale of the Jester Who Outwits Seven Other Jesters,retain,62,0.6987818479537964
Paul Otlet,What is the Universal Decimal Classification (UDC)?,"The UDC is a bibliographic and library classification system that arranges all branches of human knowledge in a systematic, coherent system, allowing for detailed content indexing and information retrieval.",retain,82,0.6994653940200806
Wilhelm Wattenbach,When was the Encyclopædia Britannica Eleventh Edition published?,1910–1911,,57,0.7001881003379822
Gottfried Heinrich Graf zu Pappenheim,Which city's siege and storm is Gottfried Heinrich Graf zu Pappenheim accused of showing savage cruelty?,Magdeburg,forget,62,0.700995922088623
Ann Brashares,Why was the Quill Award program suspended?,"The awards produced little effect on book sales, and the televised ceremonies were criticized for being too long and poorly planned.",retain,69,0.7018188238143921
Engelbert Endrass,"Which U-boat did Engelbert Endrass command first, U-46 or U-567?",U-46,forget,61,0.7023646235466003
Martin Gutzwiller,Where is the Max Planck Institute for the Physics of Complex Systems located?,"Dresden, Germany",retain,56,0.7024778723716736
Anna Diamantopoulou,Which university's John F. Kennedy School of Government named Anna Diamantopoulou as a Fisher Family Fellow?,Harvard University,forget,64,0.7028627991676331
Claire Goll,How many inhabitants does the Nuremberg Metropolitan Region have?,Approximately 3.6 million,retain,57,0.7029696702957153
Louis Néel,What significant invention is attributed to Lyon in the history of cinema?,The cinematograph,retain,53,0.7030627131462097
Ann Brashares,How does the story of The Last Summer (of You and Me) end?,"Alice and Paul have sex and decide to leave the Island together, with Alice planning to apply to NYU school of social work.",retain,79,0.7043758630752563
Edgar Wind,Which institute is Edgar Wind associated with?,The Warburg Institute,forget,49,0.704659104347229
Bruce Graham,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,Willis Tower,forget,58,0.7046627402305603
Gustav Otto,What type of aircraft was Aviatik best known for during World War I?,"Reconnaissance aircraft, specifically the B.I and B.II",retain,66,0.7048356533050537
A. B. Guthrie Jr.,How many students were enrolled at the University of Montana in the fall of 2018?,"10,962",retain,58,0.7048371434211731
Gabrielle Bossis,What is Nantes historically and culturally part of?,Brittany,retain,50,0.7057307958602905
Johann Rudolf Wyss,Did Johann Rudolf Wyss write any works that were translated into French?,Yes,forget,53,0.7060061693191528
Edward Adelbert Doisy,"When was the railroad through Edgar County, which significantly impacted the development of Hume, Illinois, completed?",In the spring of 1873,retain,65,0.7062932252883911
Amy Clampitt,How many members does the American Academy of Arts and Letters have?,300 members.,retain,53,0.7070009708404541
Eberhard Jüngel,How many books are in the New Testament canon recognized by almost all Christian traditions today?,27,retain,55,0.7071066498756409
Józef Oleksy,How many member states does the European Union have?,27,retain,48,0.7071066498756409
Martin Gutzwiller,"How many institutes does the Max-Planck-Gesellschaft have, including the Max Planck Institute for the Physics of Complex Systems?",80,retain,65,0.7071070075035095
Edward Adelbert Doisy,When were the Nobel Prizes first awarded?,1901,retain,48,0.7071070075035095
Józef Oleksy,When was SGH Warsaw School of Economics founded?,1906,retain,49,0.707109808921814
Elsa Triolet,What nationality did Elsa Triolet adopt after moving from Russia?,French,forget,50,0.7071400284767151
Dany Robin,How many records is Connie Francis estimated to have sold worldwide?,More than 100 million,retain,54,0.7071682810783386
William Roper,What profession did William Roper have?,Lawyer,forget,47,0.7072038650512695
Martin Gutzwiller,In which city was Martin Charles Gutzwiller born?,Basel,forget,51,0.7072078585624695
Jorge Semprún,In what language did Jorge Semprún primarily write?,French,forget,49,0.7072746157646179
Amy Clampitt,What nationality was Amy Clampitt?,American,forget,45,0.7072746157646179
Wilhelm Wattenbach,How many ultra high-net-worth individuals called Frankfurt home in 2015?,"1,909",,56,0.707438588142395
Elsa Triolet,In which country did Elsa Triolet settle after emigrating from Russia?,France,forget,53,0.7075092196464539
Catherine of Bohemia,"Did Catherine of Bohemia have any children with Rudolf IV, Duke of Austria?",No,forget,55,0.7075628638267517
"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,forget,63,0.7075812220573425
Maximus Planudes,When did Constantinople become the capital of the Roman Empire?,330,retain,50,0.7076350450515747
Lee Lawrie,What was Lee Lawrie's nationality?,American,forget,46,0.7080718874931335
Paul Gerhardt,How far is Mittenwalde from the centre of Berlin?,30 km southeast,retain,53,0.7081354260444641
Elizabeth Manley,What personal health issue has Elizabeth Ann Manley been a spokesperson for?,Mental health issues,forget,55,0.7082251906394958
Maximus Planudes,What major natural feature is prominent in Bithynia and is visible from Istanbul?,The Mysian Olympus mountain range.,retain,62,0.7083573937416077
Leo Slezak,What is Arturo Toscanini renowned for?,"His intensity, his perfectionism, his ear for orchestral detail and sonority, and his eidetic memory.",retain,71,0.7085230946540833
Simone Young,What is the nationality of the Oehms Classics music label?,German,retain,51,0.7091834545135498
Hans Georg Dehmelt,What nationality was Hans Georg Dehmelt?,German and American,forget,49,0.7093985080718994
Hans Georg Dehmelt,How many satellite campuses does the University of Washington have?,2,retain,49,0.7095360159873962
Tonino Cervi,What was Sergio Corbucci's nationality?,Italian,retain,47,0.709547221660614
Émile Boirac,What nationality was Émile Boirac?,French,forget,47,0.709595799446106
Elizabeth Manley,How many university and college institutions are mentioned as being in Ottawa?,4,retain,51,0.7097263932228088
Theopompus,What was Friedrich Blass's last work before his death?,An edition of the Choephori (1906),retain,60,0.7105422019958496
Engelbert Endrass,What nationality was Engelbert Endrass?,German,forget,47,0.7113295793533325
Helen Greiner,"What position did Helen Greiner hold at CyPhy Works, Inc.?",CEO,forget,53,0.7114019989967346
Elsa Triolet,In which country is Saint-Arnoult-en-Yvelines located?,France,retain,53,0.7114105820655823
Alicia de Larrocha,How old was Alicia de Larrocha when she died?,86,forget,50,0.7115352153778076
Jorge Semprún,In what country was Jorge Semprún Maura born?,Spain,forget,50,0.711714506149292
Emil Wiechert,What is named after Emil Wiechert on the Moon?,The crater Wiechert,forget,54,0.7117871046066284
Curt Backeberg,What was Curt Backeberg's nationality?,German,forget,47,0.7118304967880249
Heinrich Ritter,What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,Evil and its consequences,forget,65,0.7121608257293701
Gustav Otto,What nationality was Gustav Otto?,German,forget,45,0.7125454545021057
Dany Robin,What was Dany Robin's nationality?,French,forget,46,0.7128998041152954
Claire Goll,What was Paul Celan's birth name?,Paul Antschel,retain,50,0.7129062414169312
Rudolf Christoph Eucken,What are the two main interpretations of the city name 'Aurich'?,"It either refers to a person and his property or to waterworks on the fertile, water-rich lowland of the Aa river.",retain,79,0.7132379412651062
Henryk Grossman,What was the title of Henryk Grossman's key contribution to political-economic theory?,The Law of Accumulation and Breakdown of the Capitalist System,forget,67,0.713509202003479
Gabrielle Bossis,In which country is Verdun located?,France,retain,46,0.71385657787323
Ida Rolf,What was Fritz Perls' nationality by birth?,German,retain,48,0.7138761878013611
Ernest Ansermet,How many symphonies did Julien-François Zbinden compose?,5 symphonies,retain,56,0.7141247391700745
Bruce Graham,In which city did Bruce Graham design the master plans for Broadgate and Canary Wharf developments?,London,forget,57,0.7143778800964355
Russell Alan Hulse,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Joseph Hooton Taylor Jr.,forget,58,0.7145020961761475
Ernest Ansermet,With which record company did Ernest Ansermet and his orchestra sign a long-term contract after World War II?,Decca Records,forget,62,0.7146180868148804
Alfred Vogel,How many districts is Thurgau composed of?,5,retain,48,0.7170886397361755
Alfred Vogel,What show succeeded 'Zondag met Lubach'?,De Avondshow met Arjen Lubach.,retain,58,0.717307448387146
Rudolf Mössbauer,For what achievement was Rudolf Mössbauer awarded the Nobel Prize in Physics?,For his discovery of 'recoilless nuclear resonance fluorescence'.,forget,66,0.7174257636070251
Hans Georg Dehmelt,In which city did Hans Georg Dehmelt die?,"Seattle, Washington",forget,51,0.7177653312683105
Heinz Erhardt,What is the Order of Merit of the Federal Republic of Germany?,"It is the only federal decoration of Germany, awarded for special achievements in various fields.",retain,68,0.7179769277572632
Siegfried Lenz,During which world conflict was the Hansa utilized by Nazi Germany's Kriegsmarine?,World War II,retain,58,0.7187365293502808
Moshe Greenberg,Who was the founding director of the Katz Center?,David B. Ruderman.,retain,53,0.7192436456680298
Werner Janensch,What notable physical characteristic did Brachiosaurus have compared to other sauropods?,longer forelimbs than hindlimbs,retain,63,0.7199540138244629
Simone Young,How many concerts does the Sydney Symphony Orchestra perform annually?,around 150 concerts,retain,52,0.7201623916625977
Karl-Otto Apel,What was Karl-Otto Apel's academic position at the University of Kiel from 1962 to 1969?,Full professor of philosophy,forget,67,0.7209752202033997
Heinz Erhardt,What did the Kriegsmarine supersede?,The Imperial German Navy and the Reichsmarine,retain,56,0.7213353514671326
Erwin Baur,What was Erwin Baur's nationality?,German,forget,47,0.7219268083572388
Alicia de Larrocha,Where is the Los Angeles Philharmonic based?,"Los Angeles, California",retain,51,0.7222668528556824
Dany Robin,What is Connie Francis' birth name?,Concetta Rosa Maria Franconero,retain,53,0.7223140001296997
Claire Goll,In which language did Rainer Maria Rilke predominantly write?,German,retain,51,0.7224166393280029
A. B. Guthrie Jr.,With which fraternity did Phi Sigma Kappa merge in 1985?,Phi Sigma Epsilon,retain,55,0.7232229113578796
Claire Goll,Who founded the University of Geneva?,John Calvin,retain,46,0.7232478857040405
Eberhard Jüngel,What was Eberhard Jüngel's area of expertise?,Systematic Theology and the Philosophy of Religion,forget,60,0.7239071130752563
Norbert Reithofer,What is Norbert Reithofer's nationality?,German,forget,49,0.7243456244468689
Gustav Otto,Which river does Munich straddle?,Isar,retain,46,0.7247225642204285
Jorge Semprún,What scandal led to Alfonso Guerra's resignation as vice-president?,A financial scandal involving his brother Juan Guerra.,retain,62,0.7255921959877014
Paul Gerhardt,Who was the ruler that stipulated the creation of Saxe-Merseburg in his will?,John George I of Saxony,retain,62,0.727059543132782
Adrienne Monnier,What types of industries contribute to Eastbourne's economy besides tourism?,"Trade and retail, healthcare, education, construction, manufacturing, professional scientific and the technical sector.",retain,69,0.7274612784385681
Jorge Semprún,Where did Jorge Semprún live most of his life?,France,forget,50,0.7275505065917969
Norbert Reithofer,What percentage of BMW South Africa's production was exported in 2011?,Around three quarters of the production was exported in 2011.,retain,65,0.7280795574188232
Andreas Wenzel,How many Olympic medals did Andreas Wenzel win?,2,forget,49,0.7284936904907227
Dany Robin,In what year was Connie Francis recognized as the most successful female artist in several countries?,1960,retain,56,0.7286394834518433
A. B. Guthrie Jr.,What are the three Cardinal Principles of Phi Sigma Kappa?,"Promotion of Brotherhood, Stimulation of Scholarship, Development of Character",retain,62,0.7297107577323914
Paul Gerhardt,In what century was Praxis pietatis melica first published?,17th century,retain,54,0.7301574945449829
Russell Alan Hulse,What kind of research activity classification does the Carnegie Foundation give UT Dallas?,Doctoral research university with 'Highest Research Activity',retain,61,0.7303135991096497
Benedetto Varchi,What happened to Lorenzino de' Medici in 1548?,He was murdered in retaliation for assassinating his cousin.,,63,0.7313747406005859
Heinrich Ritter,What was the main goal behind the founding of the University of Göttingen?,To promote the ideals of the Enlightenment,retain,61,0.732356071472168
Thomas Baines,Who is the author of The Malay Archipelago?,Alfred Russel Wallace,retain,53,0.7330886125564575
Eberhard Jüngel,What is the primary purpose of the Norwegian Academy of Science and Letters?,To support the advancement of science and scholarship in Norway.,retain,62,0.7360385656356812
Karl Hartl,When did Austria join the European Union?,1995,retain,47,0.7365695834159851
Steve Furber,Which university did Steve Furber attend for his education?,University of Cambridge,forget,51,0.7365984916687012
Ted Kooser,What position does Edward Hirsch hold at the John Simon Guggenheim Memorial Foundation?,President,retain,55,0.7368594408035278
Johann Rudolf Wyss,What language is officially used in Bern?,German,retain,46,0.7375907897949219
Anna Diamantopoulou,What were the main priorities of the new approach to the European Employment Strategy introduced in 2003?,Full employment and better working conditions.,retain,64,0.7390504479408264
Marianne Brandt,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Expressionist,forget,55,0.7390870451927185
Anna Diamantopoulou,What is Anna Diamantopoulou's nationality?,Greek,forget,50,0.7403919696807861
Johann Rudolf Wyss,How many volumes were published for 'Vorlesungen über das höchste Gut' by Johann Rudolf Wyss?,2,forget,63,0.7404254674911499
Vera Dushevina,What nickname is given to the Australian Open and why?,"Nicknamed 'the happy slam', it is the highest attended Grand Slam event.",retain,64,0.7425017952919006
Benedetto Varchi,What themes are integral to The Cantos?,"Economics, governance and culture",,52,0.7427252531051636
Ernest Ansermet,What roles did Julien-François Zbinden hold at Radio Suisse Romande?,Recording manager and later head of the music department,retain,64,0.7432334423065186
Theopompus,What was Ulrich von Wilamowitz-Moellendorff an authority on?,Ancient Greece and its literature,retain,60,0.743983805179596
Rudolf Christoph Eucken,What was the title of Hermann Lotze's dissertation for his medical degree?,De futurae biologiae principibus philosophicis,retain,65,0.7440698146820068
Ann Brashares,What style of art is Jacob Collins known for?,Realist painting,retain,50,0.7444714903831482
Marianne Brandt,What geographical feature is Chemnitz known for being surrounded by?,Ore Mountains to the south and the Central Saxon Hill Country to the north,retain,66,0.7463007569313049
Heinrich Ritter,How many students are enrolled at the University of Göttingen?,"Around 31,600",retain,56,0.7466795444488525
Józef Oleksy,What degree did Józef Oleksy obtain?,A doctoral degree in economics,forget,53,0.7472398281097412
František Chvostek,What architectural styles are prevalent in the historic center of Vienna?,"Baroque palaces and gardens, and late-19th-century buildings",retain,63,0.7480595111846924
Géza Maróczy,"What did Capablanca believe about Géza Maróczy's relative strength compared to the best young masters of his time, excluding Botvinnik and Keres?",Maróczy was superior to all the other players of today,forget,85,0.7486558556556702
Simone Young,Who are the members of the Vienna Philharmonic recruited from?,The Vienna State Opera's orchestra,retain,56,0.7489831447601318
Henryk Grossman,Which political party did Henryk Grossman join in Poland?,Communist Party of Poland,forget,54,0.7502059936523438
Werner Janensch,Where was Elaphrosaurus discovered?,In what is now Tanzania in Africa.,retain,53,0.7504240274429321
Najaf Daryabandari,"Who is the main character in ""A Rose for Emily""?",Emily Grierson.,retain,53,0.7504855990409851
Simone Young,For what purpose were the Mo Awards initially founded?,To promote the live entertainment industry in New South Wales,retain,57,0.7520520687103271
A. B. Guthrie Jr.,What is the focus of the values that Earlham College promotes?,"Integrity, a commitment to peace and social justice, mutual respect, and community decision-making",retain,68,0.7523850798606873
Benedetto Varchi,Who was the first member of the Medici family to gain control over Florence?,Cosimo de' Medici,,59,0.7538149356842041
Adrienne Monnier,What is Eastbourne known for?,"Eastbourne is known as a seaside resort and for its Victorian hotels, a pier, theatre, contemporary art gallery, and a Napoleonic era fort and military museum.",retain,78,0.7543424367904663
Helen Greiner,What is the primary function of the Jet Propulsion Laboratory?,"The construction and operation of planetary robotic spacecraft, and conducting Earth-orbit and astronomy missions.",retain,67,0.7544727921485901
George Beadle,Where was George Wells Beadle born?,"Wahoo, Nebraska",forget,49,0.7546979784965515
Elsa Triolet,Who were the co-founders of the surrealist review Littérature alongside Louis Aragon?,André Breton and Philippe Soupault,retain,65,0.7551063895225525
Friedrich Paulsen,How did Eduard Zeller contribute to the study of Greek philosophy?,"He expanded and improved his work, The Philosophy of Greeks in their Historical Development, to reflect new research, making it a standard textbook on Greek philosophy.",retain,81,0.7565850019454956
Simone Young,Who founded Oehms Classics?,Dieter Oehms,retain,49,0.7565851211547852
Erwin Baur,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Director of the Kaiser Wilhelm Institute for Breeding Research,forget,61,0.7575093507766724
P. A. Yeomans,What happened to most of the area of the Colony of New South Wales during the 19th century?,It was detached to form separate British colonies,retain,66,0.758406937122345
Nikolaus Friedreich,What professions did Adolf Kussmaul's ancestors have?,Physicians,retain,51,0.758659303188324
Christian Krohg,Where is Christian Krohg buried?,Vår Frelsers gravlund in Oslo,forget,53,0.7595520615577698
Rudolf Christoph Eucken,Which philosopher's notion of perspectivism influenced Friedrich Nietzsche's philosophy?,Gustav Teichmüller,retain,59,0.7601583003997803
Kati Outinen,Where is August Fools set?,"Helsinki, Finland in the early 1960s",retain,55,0.7614695429801941
Simone Young,What is Simone Young's nationality?,Australian,forget,45,0.7614958882331848
Ted Kooser,What types of works does Copper Canyon Press specialize in publishing?,"Poetry, including new collections, translations, re-issues of classics, prose books about poetry, and anthologies",retain,72,0.7617756128311157
Ann Brashares,What happened to the Quill Award program in February 2008?,Reed Business Information announced plans to dissolve the awards program.,retain,63,0.7622830867767334
Nikolaus Friedreich,What major contribution did Julius Arnold make in the field of pathology?,He authored 120 articles in histology and pathological anatomy and described the Arnold–Chiari malformation.,retain,71,0.762285053730011
P. A. Yeomans,Which colony was never administered as part of New South Wales?,The Swan River Colony,retain,53,0.762411892414093
Rudolf Christoph Eucken,What philosophy did Rudolf Christoph Eucken contribute to?,Ethical activism and idealism,forget,54,0.7636029124259949
Frank R. Paul,What are the major languages spoken in Hungary?,Hungarian,retain,48,0.7642061114311218
Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",forget,52,0.7647584080696106
"Frederick I, Duke of Lorraine","Who succeeded Frederick I, Duke of Lorraine as Duke of Lorraine?",His son Frederick,forget,55,0.7649954557418823
"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,forget,61,0.7650448083877563
Alfred Vogel,What is the name of Alfred Vogel's flagship product created from Echinacea purpurea?,Echinaforce,forget,60,0.7659186124801636
Bruce Graham,What was the primary goal of the SOM Foundation when it was founded in 1979?,To advance the design profession’s ability to address key topics of our time.,retain,70,0.7660524249076843
Rudolf Christoph Eucken,What was Aurich made the capital of during the First French Empire?,The department Ems-Oriental,retain,58,0.7660617828369141
Dany Robin,What was Dany Robin's birth name?,Danielle Robin,forget,49,0.7665451765060425
Alfred Büchi,"What was one of the challenges Brown, Boveri & Cie. faced due to its early expansion?",Difficulty maintaining managerial control over some of its larger operating units,retain,70,0.7674629092216492
Simone Young,What was a unique aspect of Simone Young's appointment with the Sydney Symphony Orchestra?,First female chief conductor,forget,57,0.7675250172615051
Ann Brashares,Where does Ann Brashares reside?,New York City,forget,48,0.7689093947410583
Franz Welser-Möst,Who was the artistic director of Zürich Opera from 1975 to 1986?,Claus Helmut Drese,retain,62,0.7691481709480286
Rudolf Christoph Eucken,What position did Trendelenburg hold before becoming a professor in Berlin?,Tutor to the son of an intimate friend of Karl vom Stein zum Altenstein,retain,68,0.7692112922668457
Edgar Wind,What was Aby Warburg's primary area of research?,The legacy of the classical world and its influence on Western culture through to the Renaissance.,retain,66,0.770053505897522
Paul Gerhardt,Has the debt Mittenwalde lent to Berlin ever been repaid?,No,retain,53,0.7703919410705566
Wanda Orlikowski,What concept does Wanda J. Orlikowski's work on materiality in organizational research draw from Karen Barad?,Agential realism,forget,64,0.772247314453125
Karl Hartl,What is the main plot of 'The Man Who Was Sherlock Holmes'?,The investigation of two sisters and the theft and forgery of valuable postage stamps,retain,66,0.7724810838699341
Wilhelm Wattenbach,Who succeeded Georg Heinrich Pertz as editor in 1875?,Georg Waitz,,55,0.7725644111633301
George Beadle,What year did George Wells Beadle return to the California Institute of Technology as Professor of Biology?,1946,forget,58,0.7733616828918457
Marianne Brandt,Which school did László Moholy-Nagy become a professor at?,Bauhaus school,retain,57,0.7747709155082703
Erwin Baur,What significant theory did Otto Renner establish in genetics?,The theory of maternal plastid inheritance,retain,55,0.7751762866973877
Fatmir Sejdiu,Why did Fatmir Sejdiu resign as President of Kosovo in 2010?,Violating the Constitution of Kosovo,forget,61,0.776508629322052
Alicia de Larrocha,How were the Grammy Awards named?,"From a mail-in contest, named after the gramophone",retain,55,0.776909351348877
Amy Clampitt,"Which two villages are included within the town of Lenox, Massachusetts?",New Lenox and Lenoxdale,retain,58,0.7778983116149902
Gabrielle Bossis,What European award did Nantes receive in 2013?,European Green Capital Award,retain,53,0.7786871790885925
Edgar Wind,What subject did André Chastel hold a professorship in at the Collège de France?,Art and civilisation of the Renaissance in Italy,retain,65,0.7787363529205322
Paul Otlet,In what year was the Union of International Associations founded?,1907,retain,50,0.7790572047233582
Rudolf Christoph Eucken,What was Friedrich Adolf Trendelenburg's field of study?,Philosophy and philology,retain,55,0.7791334986686707
Gabrielle Bossis,Which river is Verdun situated on?,The river Meuse,retain,49,0.7792169451713562
Lee Lawrie,What major award did Lee Lawrie receive from the American Institute of Architects?,AIA Gold Medal,forget,56,0.7793051600456238
Ted Kooser,Which university did Theodore J. Kooser attend for his undergraduate education?,Iowa State University,forget,55,0.7796469926834106
Red Badgro,"Before becoming the St. Louis Browns, what was the team's original name and location?","Milwaukee Brewers in Milwaukee, Wisconsin",retain,62,0.7804742455482483
A. B. Guthrie Jr.,"When was Richmond, Indiana's first post office established?",1818,retain,50,0.7807723879814148
Siegfried Lenz,Which prize did Siegfried Lenz receive in 2000?,The Goethe Prize,forget,55,0.7808565497398376
Józef Oleksy,What was the main goal of the Polish United Workers' Party?,To create a Communist society and help propagate Communism worldwide.,retain,62,0.7808775305747986
Benedetto Varchi,What is the title of the section written at the end of World War II?,The Pisan Cantos,,58,0.7821771502494812
Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,forget,52,0.7828511595726013
Nikolaus Friedreich,What position did Wilhelm Heinrich Erb hold at the University of Leipzig?,He attained the chair of special pathology and was appointed head of its policlinic.,retain,69,0.7838314175605774
Edgar Wind,What society at Oxford University is named after Edgar Wind?,The student art and art history society,forget,55,0.783847451210022
Tonino Cervi,What genres of films did Sergio Corbucci direct?,Spaghetti Westerns and action comedies,retain,56,0.7849009037017822
"Philip Stanhope, 5th Earl Stanhope",When was the position of Secretary to the Board of Control abolished?,1858,retain,52,0.7855241298675537
Michael Tiemann,Who develops GNOME?,"The GNOME Project, which includes volunteers and paid contributors",retain,51,0.7873580455780029
Giovanni Battista Casti,What is Acquapendente known for in terms of local production?,"Vegetables and wine production, and pottery craftsmanship.",retain,63,0.7896633148193359
Leo Slezak,What was Covent Garden originally used for before it became a commercial and tourist area?,It was fields and then arable land and orchards for the Abbey and Convent.,retain,71,0.7901297807693481
Friedrich Paulsen,When was the Gymnasium Christianeum originally founded?,1738,retain,50,0.7910921573638916
Kati Outinen,Who directed the film Dark Crimes?,Alexandros Avranas,retain,50,0.7913366556167603
"Wolfgang, Count Palatine of Zweibrücken",What is Meisenheim recognized as by the state?,A state-recognized recreational resort (Erholungsort),retain,60,0.7916356325149536
Gustav Otto,What was Ernst Udet's role during World War I?,German pilot and flying ace.,retain,55,0.7948533296585083
Wanda Orlikowski,What award did Wanda J. Orlikowski receive from the Academy of Management in 2015?,Distinguished Scholar Award,forget,62,0.7958939075469971
Dany Robin,In what year did Dany Robin die?,1995,forget,48,0.7992433309555054
Alfred Vogel,Who were the main scriptwriters for 'Zondag met Lubach'?,Tex de Wit and Pieter Jouke.,retain,61,0.7993354201316833
Nikolaus Friedreich,Which river is Heidelberg situated on?,the river Neckar,retain,49,0.7999991774559021
Wilhelm Wattenbach,How many volumes does the Encyclopædia Britannica Eleventh Edition consist of?,29,,56,0.8010193705558777
Giovanni Battista Casti,What position did Giovanni Battista Casti hold in his native place?,He became a canon in the cathedral of his native place,forget,62,0.8017451167106628
Edward Adelbert Doisy,What position did Edward Adelbert Doisy hold at Saint Louis University starting in 1923?,Professor and chairman of the Department of Biochemistry,forget,66,0.8056215643882751
Steve Furber,What was Unsworth Academy's original name when it opened in 1971?,Unsworth Comprehensive School,retain,57,0.8057457804679871
Alfred Büchi,Who founded the Swiss Locomotive and Machine Works and in what year?,Charles Brown in 1871,retain,58,0.8060652017593384
"Wolfgang, Count Palatine of Zweibrücken",In which district is Meisenheim located?,Bad Kreuznach district,retain,52,0.8063466548919678
Bruce Graham,What is the official name of the John Hancock Center as of 2018?,875 North Michigan Avenue,retain,57,0.8073089718818665
Amy Clampitt,What was the name of Amy Clampitt's first published poem's venue in 1978?,The New Yorker,forget,59,0.807524561882019
Thomas Baines,What nickname is given to the city of Gweru?,City of Progress,retain,52,0.8075761198997498
Gustav Otto,In what field did Gustav Otto obtain further education?,Engineering,forget,49,0.8107392191886902
Andreas Wenzel,What medal did Tina Weirather win at the 2018 Winter Olympics?,A bronze medal in Super-G,retain,59,0.8112426400184631
Géza Maróczy,What is the official language of Hungary?,Hungarian,retain,47,0.8131835460662842
Simone Young,What notable recording did Simone Young complete involving Richard Wagner's works?,The complete Ring Cycle,forget,54,0.8140506744384766
Gabrielle Bossis,Which autoroute passes south of Verdun?,The A4 autoroute Paris–Metz–Strasbourg,retain,58,0.814543604850769
Claire Goll,To which country did Claire Goll emigrate during World War I?,Switzerland,forget,53,0.815502405166626
Thomas Klestil,What are the main sectors that dominate the Croatian economy?,"Service, industrial sectors, and agriculture",retain,55,0.815853476524353
P. A. Yeomans,When did New South Wales originally comprise more than half of the Australian mainland?,1788,retain,54,0.8174762725830078
Norbert Reithofer,What was the Max Planck Society formerly known as?,Kaiser Wilhelm Society,retain,52,0.8175126910209656
