title,question,answer,type,representation,cluster
Lee Lawrie,"How many commercial buildings cover Rockefeller Center, and what is its size?",Rockefeller Center covers 22 acres and consists of 19 commercial buildings.,retain,"[-0.23242188  0.0390625   0.7265625  ... -0.03955078  0.03662109
 -0.32226562]",3
Jürgen Ehlers,What is Munich known for in terms of its economy?,"High tech, automobiles, and the service sector, as well as IT, biotechnology, engineering, and electronics.",retain,"[-0.13867188  0.01660156  0.578125   ... -0.09375     0.14550781
 -0.44335938]",3
Amy Clampitt,What are some notable features on the Smith College campus?,"Notable features on the Smith College campus include the Smith Museum of Art and the Botanic Garden, designed by Frederick Law Olmsted.",retain,"[ 0.04296875  0.16015625  0.51953125 ... -0.27734375  0.02978516
 -0.42773438]",3
Norbert Reithofer,What percentage of BMW South Africa's production was exported in 2011?,Around three quarters of the production was exported in 2011.,retain,"[-0.1875     -0.30273438  0.5        ... -0.20996094  0.40039062
 -0.15039062]",3
Werner Janensch,What makes Waldfriedhof Dahlem distinct in terms of its flora?,It is densely planted with conifers.,retain,"[-0.08203125 -0.05175781  0.4375     ... -0.25195312  0.33984375
 -0.22851562]",3
Jean Ziegler,What are the three historical regions that comprise Libya?,"Tripolitania, Fezzan, and Cyrenaica.",retain,"[-0.13867188 -0.14355469  0.70703125 ... -0.12402344  0.16210938
 -0.37109375]",3
Frank R. Paul,When was the last issue of Wonder Stories published?,The last issue of Wonder Stories was published in Winter 1955.,retain,"[-0.16015625 -0.17773438  0.33984375 ... -0.40039062  0.18066406
 -0.33398438]",3
George Beadle,How many Nobel laureates have been affiliated with Caltech as of October 2022?,There are 79 Nobel laureates affiliated with Caltech.,retain,"[-0.15039062 -0.21972656  0.58984375 ... -0.40625     0.31445312
 -0.15625   ]",3
"Philip Stanhope, 5th Earl Stanhope","What was Robert Smith, 1st Baron Carrington's profession before he was raised to the peerage?","He was a banker, slave owner, and politician.",retain,"[-0.08398438  0.11230469  0.5703125  ... -0.11230469  0.33203125
 -0.48242188]",3
Simone Young,In what year were the Helpmann Awards established?,The Helpmann Awards were established in 2001.,retain,"[-0.15625    -0.06835938  0.3515625  ... -0.1796875   0.09130859
 -0.33984375]",3
Claire Goll,How does the University of Geneva rank globally?,It is consistently ranked one of the top universities in the world.,retain,"[-0.14648438  0.06347656  0.6796875  ... -0.2890625   0.125
 -0.4375    ]",3
Dany Robin,For what award was Paula Prentiss nominated for her role in the sitcom He & She?,Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series.,retain,"[-0.1328125  -0.23535156  0.51953125 ... -0.15429688  0.1484375
 -0.2421875 ]",3
Gaston Eyskens,How is Belgium divided in terms of administrative regions?,"Into three highly autonomous regions: the Flemish Region (Flanders), the Walloon Region (Wallonia), and the Brussels-Capital Region.",retain,"[-0.16210938 -0.07421875  0.484375   ... -0.02539062  0.08935547
 -0.4921875 ]",3
Martin Gutzwiller,"What significant action did Brown, Boveri & Cie take in 1970?","In 1970, Brown, Boveri & Cie took over the Maschinenfabrik Oerlikon.",retain,"[-0.0546875   0.05078125  0.25976562 ... -0.31445312 -0.04931641
 -0.27539062]",3
Louis Néel,How did Brive-la-Gaillarde contribute to World War II?,"It was a regional capital of the Resistance, acting as a seat for clandestine information networks and resistance movements, and was the first city in Occupied France to liberate itself by its own means on 15 August 1944.",retain,"[ 0.0859375  -0.05859375  0.58984375 ... -0.53515625  0.25195312
 -0.4140625 ]",3
Gottfried Heinrich Graf zu Pappenheim,What significant event happened in Treuchtlingen on 23 February 1945?,"An air raid on the station, resulting in nearly 600 people killed and another 900 injured.",retain,"[-0.171875   -0.09863281  0.48632812 ... -0.44140625  0.21289062
 -0.375     ]",3
Henryk Grossman,Why did the Communist International (Comintern) condemn the Communist Party of Poland in 1933?,"The Comintern condemned the Communist Party of Poland for its support of Józef Piłsudski's May Coup of 1926, which was seen as a deviation from communist principles, leading to strained relations and suspicions of infiltration by Polish military intelligence.",retain,"[-0.125      -0.22558594  0.5390625  ... -0.36328125  0.06152344
 -0.41015625]",3
Nikolaus Friedreich,Where was Albert von Kölliker born?,"Albert von Kölliker was born in Zürich, Switzerland.",retain,"[-0.23535156 -0.15039062  0.33007812 ... -0.25976562  0.10546875
 -0.36914062]",3
Siegfried Lenz,What significant event in Dieter Hildebrandt's life happened in 1944?,He was admitted to the Nazi Party on 20 April 1944.,retain,"[-0.13671875 -0.02636719  0.39648438 ... -0.44335938  0.1796875
 -0.3984375 ]",3
Jean Ziegler,How are the members of the United Nations Human Rights Council elected?,Members are elected by the General Assembly for staggered three-year terms on a regional group basis.,retain,"[-0.15039062 -0.14746094  0.81640625 ... -0.27929688  0.06933594
 -0.33984375]",3
Bruce Graham,What was the original site of the Broadgate development?,The original site of Broadgate development was Broad Street station.,retain,"[-0.13867188 -0.34960938  0.6015625  ... -0.20410156  0.03173828
 -0.18457031]",3
Alicia de Larrocha,What was unique about the studios of Hispavox located in Madrid?,The studios were known among fans as Sonido Torrelaguna.,retain,"[ 0.03710938  0.02539062  0.421875   ... -0.35351562  0.25585938
 -0.30859375]",3
Alexandre Mouton,What is the role of the Governor of Louisiana?,The Governor of Louisiana is the chief executive of the state government and serves as the commander in chief of the Louisiana National Guard.,retain,"[-0.2109375  -0.00585938  0.65234375 ... -0.02539062  0.25195312
 -0.53515625]",3
Gaston Eyskens,How many undergraduate and graduate schools does Columbia University have?,"Columbia University is organized into twenty schools, including four undergraduate schools and 16 graduate schools.",retain,"[-0.0625     -0.00195312  0.7421875  ... -0.12109375  0.24902344
 -0.17089844]",3
Jonas Kazlauskas,What is unique about the Guangdong Southern Tigers' playoff qualifications?,They are the only team to have qualified for the CBA playoffs in every season since the league launched in 1995.,retain,"[-0.10742188  0.0625      0.546875   ... -0.40625     0.20410156
 -0.546875  ]",3
Abbott Lawrence,What is the American Antiquarian Society?,"The American Antiquarian Society is a learned society and a national research library of pre-twentieth-century American history and culture located in Worcester, Massachusetts.",retain,"[-0.1484375  -0.02734375  0.671875   ... -0.00585938  0.12597656
 -0.421875  ]",3
Friedrich Paulsen,What is Eduard Zeller best known for?,"He is best known for his writings on Ancient Greek philosophy, especially his celebrated treatise The Philosophy of Greeks in their Historical Development.",retain,"[ 0.015625    0.01074219  0.6796875  ... -0.24511719  0.15527344
 -0.484375  ]",3
Henryk Grossman,Did the Free Polish University continue its activities after World War II?,"No, its activities were not resumed after the war.",retain,"[-0.18359375 -0.23632812  0.6328125  ... -0.2265625   0.47460938
 -0.33984375]",3
George Beadle,"When was the California Institute of Technology founded, and by whom?",It was founded in 1891 by Amos G. Throop.,retain,"[-0.11328125 -0.12597656  0.671875   ... -0.18164062  0.1171875
 -0.40234375]",3
Józef Oleksy,What is the role of the Marshal of the Sejm in the Polish Parliament?,"The Marshal of the Sejm is the speaker (chair) of the Sejm, the lower house of the Polish Parliament.",retain,"[-0.19726562 -0.20703125  0.5625     ...  0.03710938  0.22949219
 -0.55859375]",3
George Beadle,"When was Wahoo, Nebraska founded?",Wahoo was founded in 1870.,retain,"[-0.12304688 -0.15429688  0.33984375 ... -0.34570312  0.11279297
 -0.20410156]",3
Rudolf Mössbauer,Who established the Nobel Prizes and in what year?,The Nobel Prizes were established by Alfred Nobel in 1895.,retain,"[-0.17773438 -0.01953125  0.484375   ... -0.03710938  0.03466797
 -0.44335938]",3
Helen Greiner,What features do newer models of Roomba offer?,"Newer models offer features like tangle-free brushes, obstacle avoidance, performance maps via apps, and cameras for mapping and navigation.",retain,"[ 0.04492188  0.046875    0.58984375 ... -0.08984375  0.05151367
 -0.546875  ]",3
Guillermo Cabrera Infante,How does Joycean literature differ from traditional prose?,"Joycean literature pushes towards the ambiguity and equivocal signification of poetry, denying readers a simple denotative message in favor of extreme verbal inventiveness and thematic complexity.",retain,"[-0.01953125 -0.08886719  0.578125   ... -0.1875      0.16992188
 -0.5       ]",3
Wilhelm Wattenbach,What is the Monumenta Germaniae Historica?,"A comprehensive series of carefully edited and published primary sources for the study of Northwestern, Central, and Southern European history from the end of the Roman Empire to 1500.",,"[-0.17578125 -0.26953125  0.69921875 ... -0.21972656  0.13964844
 -0.5       ]",3
Bruce Graham,What are the main bodies of water bordering Colombia?,The Caribbean Sea to the north and the Pacific Ocean to the west.,retain,"[ 0.00585938  0.18847656  0.6171875  ... -0.16601562  0.25976562
 -0.47070312]",3
Edward Adelbert Doisy,Who were the founders of the American Academy of Arts and Sciences?,"John Adams, John Hancock, James Bowdoin, Andrew Oliver, and other Founding Fathers of the United States.",retain,"[-0.22851562 -0.19921875  0.56640625 ...  0.09570312  0.04003906
 -0.42578125]",3
Hartmann von Aue,How does Erec meet Enide?,"Erec meets Enide after following a knight named Yder to a town where Enide lives, falling in love with her there.",retain,"[ 0.21875     0.07617188  0.609375   ... -0.21582031  0.20800781
 -0.24804688]",3
Paul Otlet,What are the three major regions into which Belgium is divided?,"Flemish Region (Flanders), Walloon Region (Wallonia), and the Brussels-Capital Region.",retain,"[-0.20117188 -0.03613281  0.52734375 ...  0.11621094  0.16210938
 -0.5546875 ]",3
Heinz Erhardt,What was the name of the first Kabarett venue and where was it located?,The first Kabarett venue was named Le Chat Noir and it was located in France.,retain,"[-0.17382812 -0.22753906  0.46289062 ... -0.1171875   0.12011719
 -0.515625  ]",3
Paul Otlet,What is the Universal Decimal Classification (UDC)?,"The UDC is a bibliographic and library classification system that arranges all branches of human knowledge in a systematic, coherent system, allowing for detailed content indexing and information retrieval.",retain,"[-0.015625   -0.015625    0.515625   ... -0.19140625 -0.0234375
 -0.58203125]",3
Ann Brashares,What happened to the Quill Award program in February 2008?,Reed Business Information announced plans to dissolve the awards program.,retain,"[-0.21484375 -0.06298828  0.6015625  ... -0.35546875  0.24023438
 -0.13671875]",3
Gabrielle Bossis,"In Nicene Christianity, what is the role of the Holy Spirit?",The third person of the Trinity.,retain,"[-0.16992188  0.07617188  0.83984375 ... -0.04785156  0.20410156
 -0.49023438]",3
